,speed,gear,brake,throttle,revs,transmission_speed
121,[23.75311086001495],[1.0],[0.0],[1.0],[2697.8006016828713],[1074.5480040411728]
122,[23.770059122961513],[1.0],[0.0],[1.0],[2481.0242468608944],[1075.3147129673646]
123,[23.772056758074502],[1.0],[0.0],[1.0],[2329.46141175287],[1075.4050823861794]
124,[23.76847786294117],[2.0],[0.0],[1.0],[2203.8171137974978],[1075.2431796086926]
125,[23.80392864190069],[2.0],[0.0],[1.0],[1834.7164625839703],[1076.8469090737365]
126,[23.810626922722026],[2.0],[0.0],[1.0],[1628.2540956906053],[1077.14992724805]
127,[23.804991564924283],[2.0],[0.0],[1.0],[1509.268833893117],[1076.894993799151]
128,[23.796178628219536],[2.0],[0.0],[1.0],[1414.9129673111802],[1076.496312396886]
129,[23.786054968612714],[2.0],[0.0],[1.0],[1332.033023948576],[1076.0383362484897]
130,[23.775251652123366],[2.0],[0.0],[1.0],[1256.0909033607854],[1075.549613645414]
131,[23.764055612240632],[2.0],[0.0],[1.0],[1184.9805152826798],[1075.0431249425212]
132,[23.752618997902843],[2.0],[0.0],[1.0],[1118.0603381033688],[1074.525753084069]
133,[23.741030495878103],[2.0],[0.0],[1.0],[1054.7948652666855],[1074.0015100999021]
134,[23.729344001552303],[2.0],[0.0],[1.0],[994.6870449606317],[1073.4728341203204]
135,[23.717593695918342],[2.0],[0.0],[1.0],[937.3894986121977],[1072.9412714319526]
136,[23.70580199922501],[2.0],[0.0],[1.0],[882.6460029633218],[1072.4078362865203]
137,[23.693983999650676],[2.0],[0.0],[1.0],[830.258629610384],[1071.87321124607]
138,[23.682150055678537],[2.0],[0.0],[1.0],[780.0682692625646],[1071.3378649097465]
139,[23.67030739130656],[2.0],[0.0],[1.0],[731.9425854495483],[1070.802124078222]
140,[23.65846110758468],[2.0],[0.0],[1.0],[685.7683003233374],[1070.2662195138191]
141,[23.64661484201616],[2.0],[0.0],[1.0],[641.4461094465131],[1069.7303157706413]
142,[23.63477122628918],[2.0],[0.0],[1.0],[604.3484768214789],[1069.1945319015279]
143,[23.62293464132012],[2.0],[0.0],[1.0],[600.0],[1068.6590660912548]
144,[23.611107541285843],[2.0],[0.0],[1.0],[600.0],[1068.1240293623682]
